City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ushuaia,-54.8,-68.3,274.96,80,40,1.54,AR,1728639259
84,bredasdorp,-34.5322,20.0403,296.98,40,95,2.75,ZA,1728639260
85,mount isa,-20.7333,139.5,302.02,18,54,3.09,AU,1728639261
86,dongola,19.1667,30.4833,312.35,11,23,6.71,SD,1728639262
87,margaret river,-33.95,115.0667,291.82,88,77,2.55,AU,1728639263
88,vilyuchinsk,52.9306,158.4028,276.3,72,100,3.98,RU,1728639264
89,paranagua,-25.52,-48.5092,293.73,98,100,1.02,BR,1728639267
90,newman,37.3138,-121.0208,289.85,74,1,1.41,US,1728639269
91,dryden,49.7833,-92.7503,285.31,82,75,3.6,CA,1728639065
92,tiksi,71.6872,128.8694,265.2,92,96,2.26,RU,1728639272
93,utrik,11.2278,169.8474,298.9,87,100,5.8,MH,1728639273
94,hanak,41.2336,42.8472,284.24,74,100,2.68,TR,1728639276
95,wailua homesteads,22.0669,-159.378,298.59,94,100,3.6,US,1728639277
96,crane,31.3974,-102.3501,294.31,38,0,4.33,US,1728639278
97,albany,42.6001,-73.9662,279.15,66,0,2.31,US,1728639279
98,mwene-ditu,-7.0,23.45,303.67,40,94,2.7,CD,1728639280
99,cill airne,52.05,-9.5167,278.18,100,75,0.0,IE,1728639281
100,vila franca do campo,37.7167,-25.4333,292.38,99,65,6.89,PT,1728639282
101,kalisz,51.7611,18.091,286.53,53,2,5.36,PL,1728639283
102,alaghsas,17.0187,8.0168,310.09,11,0,7.2,NE,1728639285
103,isangel,-19.55,169.2667,295.48,74,72,5.19,VU,1728639286
104,tralee,52.2704,-9.7026,278.29,100,75,0.0,IE,1728639287
105,georgetown,5.4112,100.3354,303.12,74,20,4.63,MY,1728639288
106,padang,-0.9492,100.3543,303.18,86,100,1.33,ID,1728639066
107,ntungamo,-0.8833,29.65,298.37,63,88,1.68,UG,1728639290
108,churachandpur,24.3333,93.6667,296.04,78,17,1.34,IN,1728639291
109,kone,-21.0595,164.8658,294.85,76,70,1.74,NC,1728639292
110,callao,-12.0667,-77.15,290.77,94,100,2.57,PE,1728639294
111,bafoulabe,13.8065,-10.8321,301.88,76,96,1.54,ML,1728639295
112,ola,59.5833,151.2833,274.98,79,96,1.1,RU,1728639296
113,paracuru,-3.41,-39.0306,299.55,70,100,6.3,BR,1728639297
114,atafu village,-8.5421,-172.5159,300.89,79,16,5.87,TK,1728639298
115,codrington,-38.2667,141.9667,285.31,67,91,5.35,AU,1728639299
116,sitka,57.0531,-135.33,280.09,87,100,2.06,US,1728639300
117,isafjordur,66.0755,-23.124,273.17,59,100,1.03,IS,1728639301
118,fale old settlement,-9.3852,-171.2468,300.89,79,15,7.29,TK,1728639303
119,port macquarie,-31.4333,152.9167,292.08,82,82,1.34,AU,1728639304
120,qaqortoq,60.7167,-46.0333,275.0,69,84,1.62,GL,1728639305
121,laojunmiao,39.8333,97.7333,287.33,21,98,2.17,CN,1728639306
122,ciudad constitucion,25.0369,-111.6644,296.23,70,0,1.38,MX,1728639307
123,hailar,49.2,119.7,277.06,40,10,5.93,CN,1728639309
124,nar'yan-mar,67.6713,53.087,272.8,57,100,10.34,RU,1728639310
125,bonthe,7.5264,-12.505,295.87,96,100,5.18,SL,1728639311
126,puerto baquerizo moreno,-0.9,-89.6,292.86,81,99,5.01,EC,1728639312
127,northam,51.0333,-4.2167,280.16,93,4,2.3,GB,1728639314
128,bilibino,68.0546,166.4372,254.8,99,33,1.77,RU,1728639315
129,nova sintra,14.8667,-24.7167,300.17,83,81,5.05,CV,1728639316
130,cartagena,10.3997,-75.5144,298.94,89,75,1.03,CO,1728639132
131,shimoda,34.6667,138.95,292.57,76,100,2.42,JP,1728639318
132,homer,59.6425,-151.5483,278.58,84,100,4.15,US,1728639319
133,klaksvik,62.2266,-6.589,277.08,56,97,10.03,FO,1728639320
134,timra,62.487,17.3257,279.97,70,100,6.17,SE,1728639321
135,jand,33.4299,72.0193,306.08,21,0,0.78,PK,1728639323
136,college,64.8569,-147.8028,273.14,85,75,0.0,US,1728639324
137,agnibilekrou,7.1344,-3.2047,299.49,78,95,0.98,CI,1728639325
138,madang,-5.2246,145.7966,299.82,88,84,3.55,PG,1728639327
139,bokoro,12.3807,17.0568,306.43,43,99,1.64,TD,1728639328
140,whangarei,-35.7317,174.3239,280.9,97,21,1.68,NZ,1728639329
141,ma'ili,21.4219,-158.1803,299.16,78,0,1.54,US,1728639331
142,chuka,-0.3332,37.6459,300.23,32,2,3.91,KE,1728639333
143,st. john's,47.5649,-52.7093,281.79,96,40,5.14,CA,1728639334
144,port elizabeth,-33.918,25.5701,295.55,59,20,9.26,ZA,1728639335
145,cooper's town,26.8667,-77.5167,299.72,71,96,9.87,BS,1728639336
146,broken hill,-31.95,141.4333,291.81,18,100,4.82,AU,1728639337
147,severobaykal'sk,55.65,109.3167,272.67,63,100,1.6,RU,1728639338
148,slave lake,55.2834,-114.769,272.14,86,75,1.03,CA,1728639339
149,altay,47.8667,88.1167,290.28,25,83,2.25,CN,1728639263
150,newton,42.337,-71.2092,279.64,80,0,0.89,US,1728639066
151,irymple,-34.25,142.1667,293.2,38,48,5.46,AU,1728639342
152,tromso,69.6496,18.957,275.16,93,75,2.06,NO,1728639320
153,coquimbo,-29.9533,-71.3436,285.0,85,0,3.6,CL,1728639279
154,alofi,-19.0595,-169.9187,297.09,88,75,2.57,NU,1728639346
155,rio grande,-32.035,-52.0986,291.46,96,100,3.83,BR,1728639263
156,izhevsk,56.85,53.2333,274.33,64,8,3.13,RU,1728639349
157,tampakan,6.4442,124.9264,298.96,93,40,1.5,PH,1728639350
158,praia da vitoria,38.7333,-27.0667,292.29,59,40,9.36,PT,1728639351
159,aegina,37.7467,23.4275,297.84,66,24,2.29,GR,1728639352
160,talnakh,69.4865,88.3972,261.77,88,34,3.67,RU,1728639354
161,ambato boeny,-16.4667,46.7167,310.18,19,0,4.45,MG,1728639355
162,longyearbyen,78.2186,15.6401,278.06,70,75,8.75,SJ,1728639356
163,ingeniero jacobacci,-41.3427,-69.5448,276.47,77,10,3.58,AR,1728639357
164,imbituba,-28.24,-48.6703,292.61,98,100,6.85,BR,1728639358
165,vytegra,61.0064,36.4481,283.42,81,99,7.4,RU,1728639359
166,yemetsk,63.4721,41.7941,276.94,82,100,7.1,RU,1728639360
167,raduzhny,62.0961,77.475,270.95,85,100,4.54,RU,1728639361
168,lompoc,34.6391,-120.4579,287.67,96,100,2.06,US,1728639216
169,saipan,15.1355,145.701,301.54,83,40,2.57,MP,1728639295
170,kimbe,-5.5502,150.1429,298.46,92,100,2.09,PG,1728639365
171,fortaleza,-3.7227,-38.5247,300.97,86,40,4.63,BR,1728639193
172,horta,38.5333,-28.6333,292.05,72,20,2.57,PT,1728639367
173,stanley,54.868,-1.6985,282.33,75,0,9.77,GB,1728639368
174,el nido,11.1858,119.3956,301.56,87,76,1.62,PH,1728639369
175,tazovsky,67.4667,78.7,271.43,85,100,5.99,RU,1728639370
176,usogorsk,63.4106,48.6872,274.77,47,100,5.65,RU,1728639371
177,petropavlovsk-kamchatsky,53.0452,158.6483,275.48,65,0,1.0,RU,1728639373
178,ciudad guayana,8.3533,-62.6528,297.24,91,75,1.33,VE,1728639374
179,fort bragg,35.139,-79.006,281.93,86,0,1.54,US,1728639375
180,machiques,10.0644,-72.545,297.49,84,93,2.24,VE,1728639376
181,gunjur,13.2019,-16.7339,298.19,88,75,2.57,GM,1728639377
182,pangody,65.85,74.4859,271.54,78,95,5.27,RU,1728639378
183,diamantino,-14.4086,-56.4461,296.91,77,33,0.3,BR,1728639379
184,basco,20.4487,121.9702,300.38,81,28,7.31,PH,1728639380
185,whitehorse,60.7161,-135.0538,275.58,69,75,5.66,CA,1728639381
186,bafq,31.6128,55.4107,305.68,8,0,0.74,IR,1728639383
187,carutapera,-1.195,-46.02,299.77,74,77,3.42,BR,1728639384
188,nizhnekamsk,55.6366,51.8245,273.59,74,100,7.0,RU,1728639385
189,ihosy,-22.4,46.1167,302.91,17,30,5.09,MG,1728639386
190,tyul'gan,52.3405,56.166,275.21,56,100,5.53,RU,1728639387
191,kapit,2.0167,112.9333,298.67,96,95,1.18,MY,1728639388
192,pacific grove,36.6177,-121.9166,286.97,94,4,3.58,US,1728639389
193,oriximina,-1.7656,-55.8661,299.21,65,91,1.12,BR,1728639390
194,jamestown,42.097,-79.2353,277.95,100,0,4.63,US,1728639244
195,santa terezinha,-29.9002,-50.0904,292.41,95,99,6.93,BR,1728639392
196,maumere,-8.6199,122.2111,300.34,78,47,3.48,ID,1728639394
197,mesyagutovo,55.5303,58.2528,273.25,69,100,7.26,RU,1728639395
198,hami,42.8,93.45,297.17,14,73,1.19,CN,1728639396
199,vangaindrano,-23.35,47.6,299.12,58,41,5.5,MG,1728639397
200,muisne,0.6,-80.0333,296.92,87,100,2.86,EC,1728639398
201,pisco,-13.7,-76.2167,287.18,88,67,1.54,PE,1728639399
202,suva,-18.1416,178.4415,295.86,94,40,2.57,FJ,1728639400
203,komen,45.8153,13.7483,291.88,62,100,0.89,SI,1728639401
204,maymana,35.9214,64.7836,303.36,12,3,5.74,AF,1728639404
205,tual,-5.6667,132.75,301.08,83,42,7.12,ID,1728639405
206,dudinka,69.4058,86.1778,265.0,85,24,2.92,RU,1728639406
207,fomboni,-12.28,43.7425,299.07,74,5,6.15,KM,1728639407
208,hadibu,12.65,54.0333,300.46,70,60,1.39,YE,1728639408
209,carnarvon,-24.8667,113.6333,295.6,81,0,8.2,AU,1728639409
210,lodja,-3.4833,23.4333,302.12,49,85,2.28,CD,1728639410
211,salihorsk,52.7876,27.5415,287.7,87,100,3.02,BY,1728639412
212,kaa-khem,51.6833,94.7333,285.0,53,40,0.65,RU,1728639413
213,taoudenni,22.6783,-3.9836,311.43,15,1,4.26,ML,1728639414
214,thunder bay,48.4001,-89.3168,281.14,100,75,1.54,CA,1728639240
215,nchelenge,-9.3451,28.734,301.02,37,100,4.54,ZM,1728639417
216,zerbst,51.9667,12.0833,285.3,80,55,5.14,DE,1728639418
217,kalach,50.4258,41.0261,291.56,46,87,3.93,RU,1728639419
218,bodaybo,57.8506,114.1933,271.54,71,97,0.71,RU,1728639420
219,kolonia town,6.964,158.206,300.15,94,75,0.0,FM,1728639421
220,east london,-33.0153,27.9116,293.67,64,0,7.72,ZA,1728639423
221,umluj,25.0213,37.2685,303.83,53,1,4.49,SA,1728639424
222,akureyri,65.6835,-18.0878,272.11,80,100,1.03,IS,1728639425
223,golfito,8.639,-83.166,294.29,96,100,1.22,CR,1728639426
224,kayangel,8.0823,134.7173,302.61,70,21,1.37,PW,1728639427
225,gabarin,11.1093,10.4441,305.71,41,70,2.55,NG,1728639428
226,zhaotong,27.3167,103.7167,284.67,95,100,3.09,CN,1728639429
227,usinsk,65.9939,57.5281,271.59,77,12,5.32,RU,1728639430
228,miles city,46.4083,-105.8406,281.69,71,0,4.12,US,1728639432
229,road town,18.4167,-64.6167,301.36,67,26,3.47,VG,1728639433
230,ibarreta,-25.2144,-59.8585,288.07,98,80,1.66,AR,1728639435
231,porto novo,6.4965,2.6036,302.05,61,60,2.64,BJ,1728639436
232,tsiombe,-25.3,45.4833,306.68,26,1,5.23,MG,1728639437
233,humaita,-7.5061,-63.0208,297.48,73,100,1.16,BR,1728639439
234,ciudad lazaro cardenas,17.9583,-102.2,297.47,91,81,2.09,MX,1728639440
235,colby,39.3958,-101.0524,283.18,71,0,3.6,US,1728639389
236,otjiwarongo,-20.4637,16.6477,307.2,9,0,7.73,NA,1728639443
237,aykhal,66.0,111.5,263.59,96,100,3.31,RU,1728639444
238,felege neway,6.3,36.8833,297.4,68,36,1.48,ET,1728639445
239,san pedro pochutla,15.7333,-96.4667,295.21,76,11,2.15,MX,1728639446
240,port alfred,-33.5906,26.891,294.92,66,78,3.13,ZA,1728639447
241,hamilton,39.1834,-84.5333,282.02,88,100,0.89,US,1728639448
242,la ronge,55.1001,-105.2842,277.29,87,0,2.06,CA,1728639449
243,tolanaro,-25.0319,46.9987,300.19,65,20,14.92,MG,1728639450
244,pitimbu,-7.4706,-34.8086,299.32,70,97,5.94,BR,1728639272
245,trondheim,63.4305,10.3951,278.18,89,37,1.34,NO,1728639312
246,avarua,-21.2078,-159.775,296.18,73,75,6.17,CK,1728639454
247,sao vicente,-23.9631,-46.3919,293.14,26,100,2.24,BR,1728639255
248,lazaro cardenas,17.9583,-102.2,297.47,91,81,2.09,MX,1728639456
249,ust-tsilma,65.441,52.1498,272.94,75,100,5.39,RU,1728639458
250,qa'en,33.7265,59.1844,299.35,10,0,0.72,IR,1728639459
251,hermanus,-34.4187,19.2345,295.26,61,88,2.69,ZA,1728639460
252,mata-utu,-13.2816,-176.1745,300.67,82,8,6.81,WF,1728639461
253,sao felix do xingu,-6.6447,-51.995,297.38,55,6,1.13,BR,1728639462
254,yeraliyev,43.2,51.65,292.22,48,100,2.5,KZ,1728639464
255,saint-philippe,-21.3585,55.7679,294.39,73,64,6.17,RE,1728639465
256,taroa,8.7058,171.2275,301.36,69,100,1.18,MH,1728639466
257,minas de marcona,-15.2119,-75.1103,283.65,91,74,4.96,PE,1728639467
258,nelson bay,-32.7167,152.15,293.76,85,85,3.13,AU,1728639468
259,porto san giorgio,43.1827,13.7934,293.22,55,100,1.32,IT,1728639325
260,mandiana,10.6333,-8.6833,300.18,77,100,2.5,GN,1728639473
261,bom jesus,-9.0744,-44.3586,301.62,37,90,1.3,BR,1728639474
262,arar,30.9753,41.0381,306.16,11,0,4.12,SA,1728639475
263,wankyi,7.7392,-2.1046,299.43,80,79,2.14,GH,1728639476
264,kristiansund,63.1115,7.732,278.78,81,75,0.51,NO,1728639477
265,ornskoldsvik,63.2909,18.7153,279.68,75,20,7.72,SE,1728639479
266,polyarnyy,69.1989,33.4478,278.56,81,100,10.41,RU,1728639480
267,villa del prado,40.2692,-4.3046,288.17,50,78,1.9,ES,1728639481
268,ryki,51.6257,21.9327,284.76,67,99,5.67,PL,1728639483
269,gizo,-8.103,156.8419,301.06,74,100,2.03,SB,1728639484
270,tanout,14.9709,8.8879,307.75,13,9,3.66,NE,1728639485
271,male,4.1748,73.5089,300.12,83,100,10.8,MV,1728639486
272,cannonvale,-20.2833,148.7,296.81,77,2,8.51,AU,1728639487
273,namanyere,-7.5167,31.05,290.71,73,100,3.06,TZ,1728639488
274,vadso,70.0744,29.7487,278.24,87,75,7.72,NO,1728639489
275,mosopa,-24.7718,25.4216,305.24,17,4,3.7,BW,1728639490
276,sinop,41.7711,34.8709,296.79,46,6,3.01,TR,1728639491
277,vorgashor,67.5833,63.95,267.82,92,17,2.39,RU,1728639493
278,villa yapacani,-17.4,-63.8333,292.26,93,93,1.7,BO,1728639223
279,huilong,31.8111,121.655,292.1,73,12,3.1,CN,1728639310
280,selfoss,63.9331,-20.9971,271.51,61,12,4.06,IS,1728639497
281,walvis bay,-22.9575,14.5053,293.68,56,8,2.57,NA,1728639498
282,hadyach,50.3711,33.991,294.23,52,37,6.5,UA,1728639499
283,tidjikja,18.5564,-11.4271,307.22,28,66,4.36,MR,1728639501
284,toccoa,34.5773,-83.3324,281.95,87,0,1.54,US,1728639502
285,agapovka,53.2973,59.1348,272.0,69,100,9.56,RU,1728639503
286,ryazhsk,53.7038,40.1109,288.21,59,17,5.06,RU,1728639504
287,fairmont,39.4851,-80.1426,277.14,96,0,0.77,US,1728639298
288,dodge city,37.7528,-100.0171,290.5,67,0,4.63,US,1728639506
289,russellville,35.2784,-93.1338,286.47,76,0,0.0,US,1728639507
290,broome,42.2506,-75.833,277.06,82,2,1.07,US,1728639508
291,songea,-10.6833,35.65,298.79,44,40,3.09,TZ,1728639509
292,galle,6.0367,80.217,298.12,90,100,7.01,LK,1728639510
293,bodo,67.28,14.405,279.14,79,40,9.26,NO,1728639298
294,altai,46.3722,96.2583,283.42,27,0,4.16,MN,1728639513
295,gorontalo,0.5412,123.0595,299.7,88,32,0.87,ID,1728639514
296,richards bay,-28.783,32.0377,305.69,40,5,6.41,ZA,1728639515
297,hawaiian paradise park,19.5933,-154.9731,295.31,99,0,2.57,US,1728639516
298,orange farm,-26.4833,27.8667,302.79,15,36,2.65,ZA,1728639517
299,tabas,33.5959,56.9244,306.33,9,0,1.83,IR,1728639519
300,pingzhuang,42.0372,119.2889,287.11,49,5,3.9,CN,1728639521
301,lebu,-37.6167,-73.65,284.78,96,100,3.57,CL,1728639522
302,mejit,10.2753,170.8646,301.26,75,100,6.01,MH,1728639523
303,hasaki,35.7333,140.8333,293.66,68,100,4.68,JP,1728639524
304,sweetwater,25.7634,-80.3731,296.49,94,20,4.12,US,1728639257
305,acarau,-2.8856,-40.12,299.5,68,99,7.46,BR,1728639526
306,cabugao,17.7931,120.4578,299.91,86,33,2.46,PH,1728639527
307,ulsteinvik,62.3432,5.8487,277.77,89,100,1.79,NO,1728639529
308,luanco,43.6152,-5.7934,288.86,90,100,4.09,ES,1728639531
309,kudymkar,59.0173,54.656,275.1,41,13,4.64,RU,1728639532
310,bamboo flat,11.7,92.7167,304.2,66,40,2.06,IN,1728639535
311,gornyak,50.9942,81.4661,294.78,24,100,4.13,RU,1728639536
312,bambanglipuro,-7.95,110.2833,300.82,71,66,6.04,ID,1728639537
313,morant bay,17.8815,-76.4093,300.25,83,93,1.84,JM,1728639539
314,keflavik,64.0049,-22.5624,273.39,69,40,7.72,IS,1728639542
315,ouro preto do oeste,-10.7481,-62.2158,297.2,72,87,0.93,BR,1728639543
316,camarinas,43.1311,-9.1817,287.55,82,100,4.2,ES,1728639544
317,yuzhno-kurilsk,44.0306,145.8556,283.35,79,100,7.58,RU,1728639545
318,bonito,-21.1211,-56.4819,294.57,95,76,2.65,BR,1728639546
319,skeldon,5.8833,-57.1333,298.61,85,74,2.31,GY,1728639547
320,sechura,-5.5569,-80.8222,291.21,88,95,4.51,PE,1728639548
321,orkney,-26.9802,26.6727,305.85,13,82,1.17,ZA,1728639549
322,aldinga beach,-35.2793,138.4604,287.95,82,1,5.35,AU,1728639550
323,kruisfontein,-34.0033,24.7314,294.69,45,59,6.05,ZA,1728639552
324,camacupa,-12.0167,17.4833,304.77,12,4,3.85,AO,1728639554
325,canico,32.6333,-16.85,300.21,79,40,2.06,PT,1728639555
326,balqash,46.8481,74.995,287.48,88,40,8.0,KZ,1728639556
327,pass christian,30.3158,-89.2475,290.18,77,0,1.54,US,1728639558
328,yaren,-0.5472,166.916,301.58,69,3,5.85,NR,1728639559
329,quellon,-43.1167,-73.6167,278.21,91,69,3.72,CL,1728639561
330,meiganga,6.5167,14.3,299.68,67,8,1.81,CM,1728639562
331,sovetsk,55.0839,21.8785,286.93,51,100,8.03,RU,1728639563
332,bizhbulyak,53.6967,54.2642,276.74,52,45,8.82,RU,1728639564
333,leava,-14.3,-178.1667,300.19,83,15,4.37,WF,1728639565
334,khandyga,62.6667,135.6,273.7,90,100,1.94,RU,1728639566
335,borba,-4.3878,-59.5939,296.93,56,26,0.57,BR,1728639567
336,prevalje,46.5469,14.9208,288.85,67,96,0.38,SI,1728639568
337,ak-suu,42.4995,78.527,290.07,37,8,2.7,KG,1728639569
338,tamandare,-8.7597,-35.1047,298.68,67,98,3.73,BR,1728639570
339,egilsstadir,65.2653,-14.3948,271.1,93,40,3.09,IS,1728639572
340,pathein,16.7833,94.7333,303.25,76,32,2.66,MM,1728639573
341,souillac,-20.5167,57.5167,299.36,53,40,6.69,MU,1728639574
342,mbandaka,0.0487,18.2603,303.87,50,2,0.8,CD,1728639575
343,trincomalee,8.5711,81.2335,300.94,80,49,7.08,LK,1728639576
344,francisco morato,-23.2817,-46.7453,292.36,90,100,1.96,BR,1728639390
345,sharm el-sheikh,27.8518,34.305,303.15,50,0,1.69,EG,1728639578
346,severo-yeniseyskiy,60.3725,93.0408,267.38,84,100,1.64,RU,1728639579
347,enewetak,11.3474,162.3373,302.03,77,98,5.91,MH,1728639580
348,savonlinna,61.8699,28.88,286.18,88,75,5.66,FI,1728639581
349,cidreira,-30.1811,-50.2056,292.7,93,100,8.54,BR,1728639584
350,fort st. john,56.2499,-120.8529,276.09,70,0,4.63,CA,1728639505
351,al miqdadiyah,33.9786,44.9369,310.6,7,9,2.46,IQ,1728639586
352,tonnerre,47.8563,3.9737,283.34,87,99,1.74,FR,1728639587
353,caribou,46.8606,-68.012,280.39,72,0,4.63,US,1728639588
354,katsuura,35.1333,140.3,293.49,75,100,3.83,JP,1728639589
355,weno,7.4515,151.8468,302.12,84,100,3.09,FM,1728639590
356,wimauma,27.7125,-82.299,294.17,90,86,5.12,US,1728639591
